,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
105,2006-07-20,60.5,56.743383333333334,-1.0,9705.236448411546,0.0,9705.236448411546
106,2006-07-21,60.72,56.74205,-1.0,9705.236448411546,0.0,9705.236448411546
107,2006-07-24,61.42,56.80538333333334,-1.0,9705.236448411546,0.0,9705.236448411546
108,2006-07-25,61.928000000000004,56.96965000000001,-1.0,9705.236448411546,0.0,9705.236448411546
109,2006-07-26,63.87,57.15431666666667,-1.0,9705.236448411546,0.0,9705.236448411546
110,2006-07-27,63.4,57.34731666666668,-1.0,9705.236448411546,0.0,9705.236448411546
111,2006-07-28,65.59,57.55431666666667,-1.0,9705.236448411546,0.0,9705.236448411546
112,2006-07-31,67.96,57.90098333333334,-1.0,9705.236448411546,0.0,9705.236448411546
113,2006-08-01,67.18,58.23365000000001,-1.0,9705.236448411546,0.0,9705.236448411546
114,2006-08-02,68.16,58.58998333333334,-1.0,9705.236448411546,0.0,9705.236448411546
115,2006-08-03,69.59,58.98098333333335,-1.0,9705.236448411546,0.0,9705.236448411546
116,2006-08-04,68.3,59.271650000000015,-1.0,9705.236448411546,0.0,9705.236448411546
117,2006-08-07,67.21,59.55098333333335,-1.0,9705.236448411546,0.0,9705.236448411546
118,2006-08-08,64.78,59.743983333333354,-1.0,9705.236448411546,0.0,9705.236448411546
119,2006-08-09,63.59,59.94931666666668,-1.0,9705.236448411546,0.0,9705.236448411546
120,2006-08-10,64.07,60.21765000000001,-1.0,9705.236448411546,0.0,9705.236448411546
121,2006-08-11,63.65,60.37365000000001,-1.0,9705.236448411546,0.0,9705.236448411546
122,2006-08-14,63.94,60.59598333333335,-1.0,9705.236448411546,0.0,9705.236448411546
123,2006-08-15,66.45,60.87931666666668,-1.0,9705.236448411546,0.0,9705.236448411546
124,2006-08-16,67.98,61.24526666666668,-1.0,9705.236448411546,0.0,9705.236448411546
125,2006-08-17,67.59,61.63926666666668,-1.0,9705.236448411546,0.0,9705.236448411546
126,2006-08-18,67.91,62.05626666666668,-1.0,9705.236448411546,0.0,9705.236448411546
127,2006-08-21,66.56,62.44160000000001,-1.0,9705.236448411546,0.0,9705.236448411546
128,2006-08-22,67.62,62.84060000000001,-1.0,9705.236448411546,0.0,9705.236448411546
129,2006-08-23,67.31,63.31893333333334,-1.0,9705.236448411546,0.0,9705.236448411546
130,2006-08-24,67.81,63.8376,-1.0,9705.236448411546,0.0,9705.236448411546
131,2006-08-25,68.75,64.44026666666667,-1.0,9705.236448411546,0.0,9705.236448411546
132,2006-08-28,66.98,64.92726666666667,0.0,9705.236448411546,0.0,9705.236448411546
133,2006-08-29,66.48,65.37993333333334,0.0,9705.236448411546,0.0,9705.236448411546
134,2006-08-30,66.96,65.80860000000001,0.0,9705.236448411546,0.0,9705.236448411546
135,2006-08-31,67.85,66.0536,0.0,9705.236448411546,0.0,9705.236448411546
136,2006-09-01,68.38,66.30893333333333,0.0,9705.236448411546,0.0,9705.236448411546
137,2006-09-05,71.48,66.64426666666667,-1.0,9705.236448411546,0.0,9705.236448411546
