,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
217,2006-12-29,29.86,29.64000000000001,0.0,9042.95403165034,0.0,9042.95403165034
218,2007-01-03,29.86,29.653000000000013,0.0,9042.95403165034,0.0,9042.95403165034
219,2007-01-04,29.81,29.66666666666668,0.0,9042.95403165034,0.0,9042.95403165034
220,2007-01-05,29.64,29.658333333333346,0.0,9042.95403165034,0.0,9042.95403165034
221,2007-01-08,29.93,29.65866666666668,0.0,9042.95403165034,0.0,9042.95403165034
222,2007-01-09,29.96,29.660000000000014,0.0,9042.95403165034,0.0,9042.95403165034
223,2007-01-10,29.66,29.65666666666668,0.0,9042.95403165034,0.0,9042.95403165034
224,2007-01-11,30.7,29.697333333333347,0.0,9042.95403165034,0.0,9042.95403165034
225,2007-01-12,31.21,29.758000000000017,0.0,9042.95403165034,0.0,9042.95403165034
226,2007-01-16,31.16,29.811000000000014,0.0,9042.95403165034,0.0,9042.95403165034
227,2007-01-17,31.1,29.869000000000014,0.0,9042.95403165034,0.0,9042.95403165034
228,2007-01-18,31.0,29.93166666666668,0.0,9042.95403165034,0.0,9042.95403165034
229,2007-01-19,31.11,29.99100000000001,0.0,9042.95403165034,0.0,9042.95403165034
230,2007-01-22,30.72,30.044000000000015,0.0,9042.95403165034,0.0,9042.95403165034
231,2007-01-23,30.74,30.102333333333345,0.0,9042.95403165034,0.0,9042.95403165034
232,2007-01-24,31.09,30.177000000000014,0.0,9042.95403165034,0.0,9042.95403165034
233,2007-01-25,30.45,30.212000000000014,0.0,9042.95403165034,0.0,9042.95403165034
234,2007-01-26,30.6,30.24733333333335,0.0,9042.95403165034,0.0,9042.95403165034
235,2007-01-29,30.53,30.284000000000017,0.0,9042.95403165034,0.0,9042.95403165034
236,2007-01-30,30.48,30.31500000000002,0.0,9042.95403165034,0.0,9042.95403165034
237,2007-01-31,30.86,30.341333333333353,0.0,9042.95403165034,0.0,9042.95403165034
238,2007-02-01,30.56,30.353666666666683,0.0,9042.95403165034,0.0,9042.95403165034
239,2007-02-02,30.19,30.363666666666685,0.0,9042.95403165034,0.0,9042.95403165034
240,2007-02-05,29.61,30.351000000000017,0.0,9042.95403165034,0.0,9042.95403165034
241,2007-02-06,29.51,30.331666666666685,0.0,9042.95403165034,0.0,9042.95403165034
242,2007-02-07,29.37,30.311333333333348,0.0,9042.95403165034,0.0,9042.95403165034
243,2007-02-08,29.26,30.298666666666684,0.0,9042.95403165034,0.0,9042.95403165034
244,2007-02-09,28.98,30.26500000000002,0.0,9042.95403165034,0.0,9042.95403165034
245,2007-02-12,28.94,30.22900000000002,0.0,9042.95403165034,0.0,9042.95403165034
246,2007-02-13,29.01,30.196666666666683,0.0,9042.95403165034,0.0,9042.95403165034
247,2007-02-14,29.4,30.18133333333335,0.0,9042.95403165034,0.0,9042.95403165034
248,2007-02-15,29.46,30.168000000000017,0.0,9042.95403165034,0.0,9042.95403165034
249,2007-02-16,28.74,30.132333333333353,0.0,9042.95403165034,0.0,9042.95403165034
250,2007-02-20,28.83,30.105333333333355,0.0,9042.95403165034,0.0,9042.95403165034
251,2007-02-21,29.35,30.086000000000023,0.0,9042.95403165034,0.0,9042.95403165034
252,2007-02-22,29.39,30.06700000000002,0.0,9042.95403165034,0.0,9042.95403165034
253,2007-02-23,28.9,30.04166666666669,0.0,9042.95403165034,0.0,9042.95403165034
254,2007-02-26,29.07,29.987333333333357,0.0,9042.95403165034,0.0,9042.95403165034
255,2007-02-27,27.87,29.876000000000023,1.0,0.0,324.4691077018421,9042.95403165034
256,2007-02-28,28.17,29.776333333333355,1.0,0.0,324.4691077018421,9140.294763960894
257,2007-03-01,28.09,29.676000000000023,1.0,0.0,324.4691077018421,9114.337235344745
258,2007-03-02,27.76,29.568000000000023,1.0,0.0,324.4691077018421,9007.262429803137
259,2007-03-05,27.5499,29.44933000000002,1.0,0.0,324.4691077018421,8939.09147027498
260,2007-03-06,27.83,29.352996666666687,1.0,0.0,324.4691077018421,9029.975267342266
261,2007-03-07,27.61,29.248663333333354,1.0,0.0,324.4691077018421,8958.59206364786
262,2007-03-08,27.32,29.122996666666687,1.0,0.0,324.4691077018421,8864.496022414327
263,2007-03-09,27.28,29.01733000000002,1.0,0.0,324.4691077018421,8851.517258106254
264,2007-03-12,27.44,28.91199666666669,1.0,0.0,324.4691077018421,8903.432315338549
265,2007-03-13,26.72,28.78499666666669,1.0,0.0,324.4691077018421,8669.814557793221
266,2007-03-14,27.4,28.68233000000002,0.0,0.0,324.4691077018421,8890.453551030474
267,2007-03-15,27.28,28.562996666666685,0.0,0.0,324.4691077018421,8851.517258106254
268,2007-03-16,27.33,28.45533000000002,0.0,0.0,324.4691077018421,8867.740713491345
269,2007-03-19,27.83,28.376663333333354,0.0,0.0,324.4691077018421,9029.975267342266
270,2007-03-20,27.84,28.317663333333357,0.0,0.0,324.4691077018421,9033.219958419284
271,2007-03-21,28.52,28.284663333333356,0.0,0.0,324.4691077018421,9253.858951656537
272,2007-03-22,28.27,28.247996666666687,0.0,0.0,324.4691077018421,9172.741674731076
273,2007-03-23,28.02,28.206663333333356,0.0,0.0,324.4691077018421,9091.624397805615
274,2007-03-26,28.22,28.18133000000002,0.0,0.0,324.4691077018421,9156.518219345984
275,2007-03-27,27.72,28.140663333333354,0.0,0.0,324.4691077018421,8994.283665495062
276,2007-03-28,27.64,28.094996666666688,0.0,0.0,324.4691077018421,8968.326136878917
277,2007-03-29,27.75,28.03999666666669,0.0,0.0,324.4691077018421,9004.01773872612
278,2007-03-30,27.87,27.986996666666688,0.0,0.0,324.4691077018421,9042.95403165034
279,2007-04-02,27.74,27.953663333333353,0.0,0.0,324.4691077018421,9000.7730476491
280,2007-04-03,27.87,27.921663333333353,0.0,0.0,324.4691077018421,9042.95403165034
281,2007-04-04,28.5,27.893330000000017,0.0,0.0,324.4691077018421,9247.3695695025
282,2007-04-05,28.55,27.865330000000018,0.0,0.0,324.4691077018421,9263.593024887592
283,2007-04-09,28.57,27.85433000000002,0.0,0.0,324.4691077018421,9270.08240704163
284,2007-04-10,28.4,27.831996666666683,0.0,0.0,324.4691077018421,9214.922658732316
285,2007-04-11,28.11,27.839996666666686,0.0,0.0,324.4691077018421,9120.826617498782
286,2007-04-12,28.54,27.852330000000016,0.0,0.0,324.4691077018421,9260.348333810574
287,2007-04-13,28.61,27.86966333333335,0.0,0.0,324.4691077018421,9283.061171349704
288,2007-04-16,28.73,27.901996666666683,0.0,0.0,324.4691077018421,9321.997464273923
289,2007-04-17,28.85,27.945333333333352,0.0,0.0,324.4691077018421,9360.933757198145
290,2007-04-18,28.6,27.971000000000018,0.0,0.0,324.4691077018421,9279.816480272684
291,2007-04-19,28.69,28.00700000000002,0.0,0.0,324.4691077018421,9309.01869996585
292,2007-04-20,29.02,28.063666666666684,0.0,0.0,324.4691077018421,9416.093505507459
293,2007-04-23,28.78,28.113666666666685,0.0,0.0,324.4691077018421,9338.220919659017
294,2007-04-24,28.79,28.158666666666683,0.0,0.0,324.4691077018421,9341.465610736035
295,2007-04-25,28.99,28.234333333333346,0.0,0.0,324.4691077018421,9406.359432276402
296,2007-04-26,29.1,28.291000000000015,0.0,0.0,324.4691077018421,9442.051034123606
297,2007-04-27,30.12,28.385666666666683,-1.0,9773.009523979485,0.0,9773.009523979485
298,2007-04-30,29.94,28.472666666666683,-1.0,9773.009523979485,0.0,9773.009523979485
299,2007-05-01,30.1925,28.551416666666682,-1.0,9773.009523979485,0.0,9773.009523979485
300,2007-05-02,30.61,28.643750000000015,-1.0,9773.009523979485,0.0,9773.009523979485
301,2007-05-03,30.97,28.725416666666682,-1.0,9773.009523979485,0.0,9773.009523979485
302,2007-05-04,30.56,28.801750000000016,-1.0,9773.009523979485,0.0,9773.009523979485
303,2007-05-07,30.71,28.891416666666682,-1.0,9773.009523979485,0.0,9773.009523979485
304,2007-05-08,30.75,28.975750000000016,-1.0,9773.009523979485,0.0,9773.009523979485
305,2007-05-09,30.7799,29.07774666666668,-1.0,9773.009523979485,0.0,9773.009523979485
306,2007-05-10,30.58,29.175746666666683,0.0,9773.009523979485,0.0,9773.009523979485
307,2007-05-11,30.89,29.28041333333335,-1.0,9773.009523979485,0.0,9773.009523979485
308,2007-05-14,30.97,29.383746666666685,-1.0,9773.009523979485,0.0,9773.009523979485
309,2007-05-15,30.9,29.489080000000016,0.0,9773.009523979485,0.0,9773.009523979485
310,2007-05-16,31.07,29.595746666666685,0.0,9773.009523979485,0.0,9773.009523979485
311,2007-05-17,30.98,29.678413333333353,0.0,9773.009523979485,0.0,9773.009523979485
312,2007-05-18,30.83,29.754413333333353,0.0,9773.009523979485,0.0,9773.009523979485
313,2007-05-21,31.05,29.837080000000018,0.0,9773.009523979485,0.0,9773.009523979485
